reading_time,zone_name,avg_speed_kmh,congestion_index
2026-09-01 20:00:00,Jayanagar,12.0,0.56
2026-09-01 20:00:00,Hebbal,7.0,0.81
2026-09-01 20:00:00,Electronic City,21.2,0.31
2026-09-01 20:00:00,HSR Layout,17.6,0.47
2026-09-01 21:00:00,MG Road / Central,20.6,0.3
2026-09-01 21:00:00,Indiranagar,17.9,0.46
2026-09-01 21:00:00,Whitefield,26.2,0.11
2026-09-01 21:00:00,Koramangala,18.4,0.34
2026-09-01 21:00:00,Jayanagar,17.0,0.46
2026-09-01 21:00:00,Hebbal,28.9,0.1
2026-09-01 21:00:00,Electronic City,16.9,0.5
2026-09-01 21:00:00,HSR Layout,27.0,0.07
2026-09-02 06:00:00,MG Road / Central,12.0,0.55
2026-09-02 06:00:00,Indiranagar,18.0,0.45
2026-09-02 06:00:00,Whitefield,25.7,0.14
2026-09-02 06:00:00,Koramangala,26.5,0.05
2026-09-02 06:00:00,Jayanagar,20.9,0.22
2026-09-02 06:00:00,Hebbal,13.8,0.45
2026-09-02 06:00:00,Electronic City,24.3,0.2
2026-09-02 06:00:00,HSR Layout,14.4,0.42
2026-09-02 07:00:00,MG Road / Central,13.8,0.54
2026-09-02 07:00:00,Indiranagar,22.5,0.28
2026-09-02 07:00:00,Whitefield,20.6,0.27
2026-09-02 07:00:00,Koramangala,17.0,0.41
2026-09-02 07:00:00,Jayanagar,23.4,0.26
2026-09-02 07:00:00,Hebbal,14.3,0.44
2026-09-02 07:00:00,Electronic City,10.9,0.51
2026-09-02 07:00:00,HSR Layout,24.2,0.23
2026-09-02 08:00:00,MG Road / Central,6.7,0.73
2026-09-02 08:00:00,Indiranagar,8.8,0.68
2026-09-02 08:00:00,Whitefield,17.3,0.48
2026-09-02 08:00:00,Koramangala,6.3,0.74
2026-09-02 08:00:00,Jayanagar,10.9,0.66
2026-09-02 08:00:00,Hebbal,11.8,0.65
2026-09-02 08:00:00,Electronic City,15.4,0.45
2026-09-02 08:00:00,HSR Layout,12.0,0.64
2026-09-02 09:00:00,MG Road / Central,9.3,0.7
2026-09-02 09:00:00,Indiranagar,5.0,0.85
2026-09-02 09:00:00,Whitefield,11.1,0.62
2026-09-02 09:00:00,Koramangala,12.0,0.67
2026-09-02 09:00:00,Jayanagar,12.2,0.65
2026-09-02 09:00:00,Hebbal,8.8,0.71
2026-09-02 09:00:00,Electronic City,10.4,0.63
2026-09-02 09:00:00,HSR Layout,12.1,0.59
2026-09-02 10:00:00,MG Road / Central,9.8,0.71
2026-09-02 10:00:00,Indiranagar,16.1,0.6
2026-09-02 10:00:00,Whitefield,14.7,0.43
2026-09-02 10:00:00,Koramangala,6.4,0.84
2026-09-02 10:00:00,Jayanagar,12.5,0.62
2026-09-02 10:00:00,Hebbal,11.7,0.55
2026-09-02 10:00:00,Electronic City,11.9,0.56
2026-09-02 10:00:00,HSR Layout,9.7,0.67
2026-09-02 11:00:00,MG Road / Central,20.3,0.3
2026-09-02 11:00:00,Indiranagar,15.4,0.45
2026-09-02 11:00:00,Whitefield,25.9,0.15
2026-09-02 11:00:00,Koramangala,16.1,0.43
2026-09-02 11:00:00,Jayanagar,24.7,0.19
2026-09-02 11:00:00,Hebbal,24.9,0.08
2026-09-02 11:00:00,Electronic City,24.7,0.16
2026-09-02 11:00:00,HSR Layout,24.3,0.29
2026-09-02 12:00:00,MG Road / Central,14.6,0.5
2026-09-02 12:00:00,Indiranagar,16.1,0.4
2026-09-02 12:00:00,Whitefield,22.0,0.25
2026-09-02 12:00:00,Koramangala,15.2,0.44
2026-09-02 12:00:00,Jayanagar,23.7,0.31
2026-09-02 12:00:00,Hebbal,23.7,0.24
2026-09-02 12:00:00,Electronic City,19.2,0.33
2026-09-02 12:00:00,HSR Layout,21.7,0.28
2026-09-02 13:00:00,MG Road / Central,16.1,0.41
2026-09-02 13:00:00,Indiranagar,18.9,0.4
2026-09-02 13:00:00,Whitefield,19.2,0.42
2026-09-02 13:00:00,Koramangala,8.7,0.66
2026-09-02 13:00:00,Jayanagar,19.7,0.35
2026-09-02 13:00:00,Hebbal,13.0,0.51
2026-09-02 13:00:00,Electronic City,24.3,0.15
2026-09-02 13:00:00,HSR Layout,27.4,0.05
2026-09-02 14:00:00,MG Road / Central,21.0,0.31
2026-09-02 14:00:00,Indiranagar,20.5,0.44
2026-09-02 14:00:00,Whitefield,17.9,0.36
2026-09-02 14:00:00,Koramangala,22.2,0.29
2026-09-02 14:00:00,Jayanagar,30.9,0.09
2026-09-02 14:00:00,Hebbal,17.3,0.39
2026-09-02 14:00:00,Electronic City,31.2,0.05
2026-09-02 14:00:00,HSR Layout,25.4,0.24
2026-09-02 15:00:00,MG Road / Central,22.5,0.21
2026-09-02 15:00:00,Indiranagar,18.1,0.4
2026-09-02 15:00:00,Whitefield,25.4,0.2
2026-09-02 15:00:00,Koramangala,21.6,0.27
2026-09-02 15:00:00,Jayanagar,23.1,0.26
2026-09-02 15:00:00,Hebbal,17.7,0.34
2026-09-02 15:00:00,Electronic City,30.6,0.07
2026-09-02 15:00:00,HSR Layout,19.8,0.29
2026-09-02 16:00:00,MG Road / Central,12.6,0.59
2026-09-02 16:00:00,Indiranagar,13.9,0.54
2026-09-02 16:00:00,Whitefield,18.6,0.5
2026-09-02 16:00:00,Koramangala,20.8,0.37
2026-09-02 16:00:00,Jayanagar,22.9,0.33
2026-09-02 16:00:00,Hebbal,27.3,0.13
2026-09-02 16:00:00,Electronic City,15.2,0.38
2026-09-02 16:00:00,HSR Layout,22.7,0.11
2026-09-02 17:00:00,MG Road / Central,11.4,0.67
2026-09-02 17:00:00,Indiranagar,5.0,0.88
2026-09-02 17:00:00,Whitefield,5.0,0.75
2026-09-02 17:00:00,Koramangala,15.0,0.5
2026-09-02 17:00:00,Jayanagar,12.1,0.6
2026-09-02 17:00:00,Hebbal,20.8,0.3
2026-09-02 17:00:00,Electronic City,19.5,0.39
2026-09-02 17:00:00,HSR Layout,10.3,0.59
2026-09-02 18:00:00,MG Road / Central,8.7,0.64
2026-09-02 18:00:00,Indiranagar,11.1,0.69
2026-09-02 18:00:00,Whitefield,18.1,0.43
2026-09-02 18:00:00,Koramangala,9.3,0.64
2026-09-02 18:00:00,Jayanagar,11.8,0.54
2026-09-02 18:00:00,Hebbal,13.1,0.48
2026-09-02 18:00:00,Electronic City,6.5,0.79
2026-09-02 18:00:00,HSR Layout,16.4,0.47
2026-09-02 19:00:00,MG Road / Central,9.0,0.69
2026-09-02 19:00:00,Indiranagar,8.3,0.77
2026-09-02 19:00:00,Whitefield,14.3,0.49
2026-09-02 19:00:00,Koramangala,5.4,0.67
2026-09-02 19:00:00,Jayanagar,21.7,0.37
2026-09-02 19:00:00,Hebbal,7.1,0.75
2026-09-02 19:00:00,Electronic City,12.0,0.62
2026-09-02 19:00:00,HSR Layout,5.0,0.92
2026-09-02 20:00:00,MG Road / Central,7.5,0.68
2026-09-02 20:00:00,Indiranagar,15.2,0.51
2026-09-02 20:00:00,Whitefield,13.4,0.46
2026-09-02 20:00:00,Koramangala,9.2,0.62
2026-09-02 20:00:00,Jayanagar,9.2,0.75
2026-09-02 20:00:00,Hebbal,16.5,0.55
2026-09-02 20:00:00,Electronic City,11.5,0.56
2026-09-02 20:00:00,HSR Layout,9.1,0.73
2026-09-02 21:00:00,MG Road / Central,21.4,0.28
2026-09-02 21:00:00,Indiranagar,18.4,0.29
2026-09-02 21:00:00,Whitefield,23.0,0.36
2026-09-02 21:00:00,Koramangala,24.2,0.23
2026-09-02 21:00:00,Jayanagar,23.9,0.17
2026-09-02 21:00:00,Hebbal,22.9,0.18
2026-09-02 21:00:00,Electronic City,20.7,0.26
2026-09-02 21:00:00,HSR Layout,21.4,0.28
2026-09-03 06:00:00,MG Road / Central,17.0,0.37
2026-09-03 06:00:00,Indiranagar,21.6,0.33
2026-09-03 06:00:00,Whitefield,18.7,0.31
2026-09-03 06:00:00,Koramangala,19.1,0.41
2026-09-03 06:00:00,Jayanagar,29.6,0.05
2026-09-03 06:00:00,Hebbal,26.0,0.17
2026-09-03 06:00:00,Electronic City,21.6,0.16
2026-09-03 06:00:00,HSR Layout,28.5,0.05
2026-09-03 07:00:00,MG Road / Central,15.3,0.43
2026-09-03 07:00:00,Indiranagar,12.4,0.48
2026-09-03 07:00:00,Whitefield,20.3,0.24
2026-09-03 07:00:00,Koramangala,20.4,0.32
2026-09-03 07:00:00,Jayanagar,24.8,0.15
2026-09-03 07:00:00,Hebbal,17.7,0.37
2026-09-03 07:00:00,Electronic City,17.2,0.35
2026-09-03 07:00:00,HSR Layout,23.5,0.31
2026-09-03 08:00:00,MG Road / Central,16.3,0.4
2026-09-03 08:00:00,Indiranagar,6.5,0.77
2026-09-03 08:00:00,Whitefield,11.0,0.59
2026-09-03 08:00:00,Koramangala,8.4,0.71
2026-09-03 08:00:00,Jayanagar,9.8,0.69
2026-09-03 08:00:00,Hebbal,11.5,0.59
2026-09-03 08:00:00,Electronic City,14.4,0.49
2026-09-03 08:00:00,HSR Layout,11.2,0.6
2026-09-03 09:00:00,MG Road / Central,12.1,0.73
2026-09-03 09:00:00,Indiranagar,5.2,0.8
2026-09-03 09:00:00,Whitefield,8.4,0.69
2026-09-03 09:00:00,Koramangala,14.3,0.46
2026-09-03 09:00:00,Jayanagar,19.5,0.33
2026-09-03 09:00:00,Hebbal,16.8,0.55
2026-09-03 09:00:00,Electronic City,11.9,0.59
2026-09-03 09:00:00,HSR Layout,6.1,0.65
2026-09-03 10:00:00,MG Road / Central,9.7,0.73
2026-09-03 10:00:00,Indiranagar,16.6,0.52
2026-09-03 10:00:00,Whitefield,11.5,0.59
2026-09-03 10:00:00,Koramangala,11.3,0.78
2026-09-03 10:00:00,Jayanagar,13.3,0.57
2026-09-03 10:00:00,Hebbal,13.5,0.49
2026-09-03 10:00:00,Electronic City,8.8,0.65
2026-09-03 10:00:00,HSR Layout,12.3,0.56
2026-09-03 11:00:00,MG Road / Central,16.9,0.46
2026-09-03 11:00:00,Indiranagar,13.2,0.52
2026-09-03 11:00:00,Whitefield,21.5,0.22
2026-09-03 11:00:00,Koramangala,20.4,0.35
2026-09-03 11:00:00,Jayanagar,17.9,0.34
2026-09-03 11:00:00,Hebbal,22.1,0.35
2026-09-03 11:00:00,Electronic City,24.8,0.3
2026-09-03 11:00:00,HSR Layout,22.8,0.16
2026-09-03 12:00:00,MG Road / Central,27.4,0.19
2026-09-03 12:00:00,Indiranagar,15.5,0.48
2026-09-03 12:00:00,Whitefield,19.2,0.28
2026-09-03 12:00:00,Koramangala,9.5,0.69
2026-09-03 12:00:00,Jayanagar,23.6,0.26
2026-09-03 12:00:00,Hebbal,21.2,0.31
2026-09-03 12:00:00,Electronic City,26.3,0.16
2026-09-03 12:00:00,HSR Layout,18.4,0.48
2026-09-03 13:00:00,MG Road / Central,11.2,0.59
2026-09-03 13:00:00,Indiranagar,21.3,0.28
2026-09-03 13:00:00,Whitefield,24.5,0.26
2026-09-03 13:00:00,Koramangala,27.2,0.2
2026-09-03 13:00:00,Jayanagar,22.2,0.23
2026-09-03 13:00:00,Hebbal,22.8,0.13
2026-09-03 13:00:00,Electronic City,19.7,0.35
2026-09-03 13:00:00,HSR Layout,24.6,0.1
2026-09-03 14:00:00,MG Road / Central,22.5,0.36
2026-09-03 14:00:00,Indiranagar,15.9,0.37
2026-09-03 14:00:00,Whitefield,22.8,0.22
2026-09-03 14:00:00,Koramangala,27.6,0.08
2026-09-03 14:00:00,Jayanagar,24.7,0.22
2026-09-03 14:00:00,Hebbal,18.1,0.47
2026-09-03 14:00:00,Electronic City,21.3,0.22
2026-09-03 14:00:00,HSR Layout,13.4,0.56
2026-09-03 15:00:00,MG Road / Central,17.9,0.4
2026-09-03 15:00:00,Indiranagar,17.0,0.42
2026-09-03 15:00:00,Whitefield,23.5,0.18
2026-09-03 15:00:00,Koramangala,17.0,0.4
2026-09-03 15:00:00,Jayanagar,25.3,0.16
2026-09-03 15:00:00,Hebbal,26.4,0.22
2026-09-03 15:00:00,Electronic City,30.7,0.05
2026-09-03 15:00:00,HSR Layout,13.9,0.4
2026-09-03 16:00:00,MG Road / Central,18.5,0.36
2026-09-03 16:00:00,Indiranagar,21.5,0.23
2026-09-03 16:00:00,Whitefield,30.0,0.12
2026-09-03 16:00:00,Koramangala,17.2,0.51
2026-09-03 16:00:00,Jayanagar,17.6,0.34
2026-09-03 16:00:00,Hebbal,25.4,0.19
2026-09-03 16:00:00,Electronic City,28.3,0.1
2026-09-03 16:00:00,HSR Layout,22.6,0.22
2026-09-03 17:00:00,MG Road / Central,7.3,0.79
2026-09-03 17:00:00,Indiranagar,12.6,0.66
2026-09-03 17:00:00,Whitefield,18.6,0.42
2026-09-03 17:00:00,Koramangala,6.2,0.77
2026-09-03 17:00:00,Jayanagar,9.8,0.59
2026-09-03 17:00:00,Hebbal,9.8,0.66
2026-09-03 17:00:00,Electronic City,17.5,0.49
2026-09-03 17:00:00,HSR Layout,13.2,0.47
2026-09-03 18:00:00,MG Road / Central,15.8,0.51
2026-09-03 18:00:00,Indiranagar,17.1,0.55
2026-09-03 18:00:00,Whitefield,24.4,0.3
2026-09-03 18:00:00,Koramangala,8.0,0.73
2026-09-03 18:00:00,Jayanagar,16.3,0.48
2026-09-03 18:00:00,Hebbal,15.8,0.55
2026-09-03 18:00:00,Electronic City,13.4,0.56
2026-09-03 18:00:00,HSR Layout,14.7,0.51
2026-09-03 19:00:00,MG Road / Central,5.0,0.74
2026-09-03 19:00:00,Indiranagar,15.3,0.54
2026-09-03 19:00:00,Whitefield,12.5,0.57
2026-09-03 19:00:00,Koramangala,9.6,0.7
2026-09-03 19:00:00,Jayanagar,13.9,0.49
2026-09-03 19:00:00,Hebbal,10.8,0.57
2026-09-03 19:00:00,Electronic City,8.6,0.6
2026-09-03 19:00:00,HSR Layout,10.7,0.67
2026-09-03 20:00:00,MG Road / Central,10.0,0.73
2026-09-03 20:00:00,Indiranagar,5.0,0.9
2026-09-03 20:00:00,Whitefield,17.6,0.33
2026-09-03 20:00:00,Koramangala,11.3,0.63
2026-09-03 20:00:00,Jayanagar,10.2,0.61
2026-09-03 20:00:00,Hebbal,11.3,0.57
2026-09-03 20:00:00,Electronic City,12.9,0.48
2026-09-03 20:00:00,HSR Layout,14.1,0.44
2026-09-03 21:00:00,MG Road / Central,23.6,0.28
2026-09-03 21:00:00,Indiranagar,26.7,0.29
2026-09-03 21:00:00,Whitefield,21.1,0.31
2026-09-03 21:00:00,Koramangala,22.5,0.3
2026-09-03 21:00:00,Jayanagar,24.8,0.18
2026-09-03 21:00:00,Hebbal,13.1,0.56
2026-09-03 21:00:00,Electronic City,17.0,0.39
2026-09-03 21:00:00,HSR Layout,26.2,0.25
2026-09-04 06:00:00,MG Road / Central,23.9,0.32
2026-09-04 06:00:00,Indiranagar,14.3,0.48
2026-09-04 06:00:00,Whitefield,22.2,0.33
2026-09-04 06:00:00,Koramangala,12.6,0.47
2026-09-04 06:00:00,Jayanagar,24.6,0.16
2026-09-04 06:00:00,Hebbal,24.0,0.24
2026-09-04 06:00:00,Electronic City,19.2,0.27
2026-09-04 06:00:00,HSR Layout,22.4,0.3
2026-09-04 07:00:00,MG Road / Central,18.1,0.47
2026-09-04 07:00:00,Indiranagar,15.9,0.5
2026-09-04 07:00:00,Whitefield,19.4,0.24
2026-09-04 07:00:00,Koramangala,16.9,0.45
2026-09-04 07:00:00,Jayanagar,19.0,0.28
2026-09-04 07:00:00,Hebbal,28.5,0.12
2026-09-04 07:00:00,Electronic City,24.0,0.25
2026-09-04 07:00:00,HSR Layout,22.5,0.25
2026-09-04 08:00:00,MG Road / Central,5.0,0.81
2026-09-04 08:00:00,Indiranagar,7.7,0.71
2026-09-04 08:00:00,Whitefield,14.4,0.5
2026-09-04 08:00:00,Koramangala,7.2,0.73
2026-09-04 08:00:00,Jayanagar,7.2,0.7
2026-09-04 08:00:00,Hebbal,13.3,0.53
2026-09-04 08:00:00,Electronic City,8.7,0.72
2026-09-04 08:00:00,HSR Layout,6.8,0.67
2026-09-04 09:00:00,MG Road / Central,9.8,0.73
2026-09-04 09:00:00,Indiranagar,10.8,0.71
2026-09-04 09:00:00,Whitefield,18.2,0.49
2026-09-04 09:00:00,Koramangala,5.0,0.98
2026-09-04 09:00:00,Jayanagar,18.0,0.5
2026-09-04 09:00:00,Hebbal,6.8,0.74
2026-09-04 09:00:00,Electronic City,14.4,0.5
2026-09-04 09:00:00,HSR Layout,16.5,0.39
2026-09-04 10:00:00,MG Road / Central,11.1,0.58
2026-09-04 10:00:00,Indiranagar,9.6,0.7
2026-09-04 10:00:00,Whitefield,5.9,0.74
2026-09-04 10:00:00,Koramangala,5.0,0.82
2026-09-04 10:00:00,Jayanagar,15.0,0.54
2026-09-04 10:00:00,Hebbal,18.3,0.42
2026-09-04 10:00:00,Electronic City,13.9,0.57
2026-09-04 10:00:00,HSR Layout,17.4,0.58
2026-09-04 11:00:00,MG Road / Central,19.2,0.32
2026-09-04 11:00:00,Indiranagar,19.1,0.33
2026-09-04 11:00:00,Whitefield,27.2,0.17
2026-09-04 11:00:00,Koramangala,11.7,0.57
2026-09-04 11:00:00,Jayanagar,26.4,0.15
2026-09-04 11:00:00,Hebbal,25.8,0.18
2026-09-04 11:00:00,Electronic City,18.7,0.27
2026-09-04 11:00:00,HSR Layout,20.5,0.44
2026-09-04 12:00:00,MG Road / Central,19.4,0.33
2026-09-04 12:00:00,Indiranagar,17.6,0.43
2026-09-04 12:00:00,Whitefield,24.1,0.33
2026-09-04 12:00:00,Koramangala,17.0,0.38
2026-09-04 12:00:00,Jayanagar,26.0,0.08
2026-09-04 12:00:00,Hebbal,26.2,0.25
2026-09-04 12:00:00,Electronic City,24.8,0.19
2026-09-04 12:00:00,HSR Layout,24.9,0.25
2026-09-04 13:00:00,MG Road / Central,7.8,0.7
2026-09-04 13:00:00,Indiranagar,21.9,0.34
2026-09-04 13:00:00,Whitefield,23.7,0.33
2026-09-04 13:00:00,Koramangala,15.2,0.47
2026-09-04 13:00:00,Jayanagar,22.6,0.32
2026-09-04 13:00:00,Hebbal,20.6,0.35
2026-09-04 13:00:00,Electronic City,21.0,0.38
2026-09-04 13:00:00,HSR Layout,18.8,0.42
2026-09-04 14:00:00,MG Road / Central,18.9,0.38
2026-09-04 14:00:00,Indiranagar,12.0,0.54
2026-09-04 14:00:00,Whitefield,20.4,0.29
2026-09-04 14:00:00,Koramangala,20.5,0.4
2026-09-04 14:00:00,Jayanagar,21.9,0.27
2026-09-04 14:00:00,Hebbal,28.9,0.09
2026-09-04 14:00:00,Electronic City,24.5,0.33
2026-09-04 14:00:00,HSR Layout,24.0,0.21
2026-09-04 15:00:00,MG Road / Central,20.3,0.43
2026-09-04 15:00:00,Indiranagar,18.9,0.39
2026-09-04 15:00:00,Whitefield,20.7,0.32
2026-09-04 15:00:00,Koramangala,20.0,0.35
2026-09-04 15:00:00,Jayanagar,16.6,0.38
2026-09-04 15:00:00,Hebbal,20.6,0.27
2026-09-04 15:00:00,Electronic City,15.2,0.39
2026-09-04 15:00:00,HSR Layout,25.3,0.18
2026-09-04 16:00:00,MG Road / Central,12.2,0.59
2026-09-04 16:00:00,Indiranagar,23.8,0.33
2026-09-04 16:00:00,Whitefield,23.3,0.08
2026-09-04 16:00:00,Koramangala,15.4,0.45
2026-09-04 16:00:00,Jayanagar,27.6,0.13
2026-09-04 16:00:00,Hebbal,20.5,0.28
2026-09-04 16:00:00,Electronic City,28.9,0.1
2026-09-04 16:00:00,HSR Layout,20.0,0.33
2026-09-04 17:00:00,MG Road / Central,5.0,0.92
2026-09-04 17:00:00,Indiranagar,13.1,0.52
2026-09-04 17:00:00,Whitefield,14.2,0.54
2026-09-04 17:00:00,Koramangala,10.6,0.67
2026-09-04 17:00:00,Jayanagar,20.9,0.4
2026-09-04 17:00:00,Hebbal,16.0,0.54
2026-09-04 17:00:00,Electronic City,13.2,0.59
2026-09-04 17:00:00,HSR Layout,12.3,0.62
2026-09-04 18:00:00,MG Road / Central,9.3,0.78
2026-09-04 18:00:00,Indiranagar,9.7,0.72
2026-09-04 18:00:00,Whitefield,16.7,0.54
2026-09-04 18:00:00,Koramangala,15.0,0.62
2026-09-04 18:00:00,Jayanagar,10.8,0.55
2026-09-04 18:00:00,Hebbal,11.7,0.57
2026-09-04 18:00:00,Electronic City,9.2,0.65
2026-09-04 18:00:00,HSR Layout,11.3,0.5
2026-09-04 19:00:00,MG Road / Central,5.8,0.65
2026-09-04 19:00:00,Indiranagar,16.2,0.51
2026-09-04 19:00:00,Whitefield,11.5,0.64
2026-09-04 19:00:00,Koramangala,12.4,0.58
2026-09-04 19:00:00,Jayanagar,11.2,0.55
2026-09-04 19:00:00,Hebbal,9.8,0.73
2026-09-04 19:00:00,Electronic City,14.3,0.52
2026-09-04 19:00:00,HSR Layout,8.7,0.58
2026-09-04 20:00:00,MG Road / Central,8.5,0.67
2026-09-04 20:00:00,Indiranagar,12.0,0.58
2026-09-04 20:00:00,Whitefield,8.3,0.77
2026-09-04 20:00:00,Koramangala,12.2,0.63
2026-09-04 20:00:00,Jayanagar,10.3,0.72
2026-09-04 20:00:00,Hebbal,12.0,0.56
2026-09-04 20:00:00,Electronic City,11.8,0.63
2026-09-04 20:00:00,HSR Layout,11.5,0.66
